document_name,document_date,token_id,form_trans,form_utf,pos_tag,morphology,lemma,lemma_simple,lemma_wsd
"Brem. StR 1303,04 Abschrift","Kopie des Stadtrechtes von 1303/04, Haupthand um 1335, Nachträge bis 1420",t16854,heuet,heuet,VVFIN,Sw.3.Sg.Pres.Ind,hebben,hebben,hebben
"Brem. StR 1303,04 Abschrift","Kopie des Stadtrechtes von 1303/04, Haupthand um 1335, Nachträge bis 1420",t16867,dach#tingen,dachtingen,VVINF,--,dēgedingen,degedingen,dēgedingen
"Brem. StR 1303,04 Abschrift","Kopie des Stadtrechtes von 1303/04, Haupthand um 1335, Nachträge bis 1420",t16881,is,is,VVFIN,Irr.3.Sg.Pres.Ind,wēsen,wesen,wēsen²
"Brem. StR 1303,04 Abschrift","Kopie des Stadtrechtes von 1303/04, Haupthand um 1335, Nachträge bis 1420",t16897,dachting-en,dachting-en,VVINF,--,dēgedingen,degedingen,dēgedingen
"Brem. StR 1303,04 Abschrift","Kopie des Stadtrechtes von 1303/04, Haupthand um 1335, Nachträge bis 1420",t16914,is,is,VVFIN,Irr.3.Sg.Pres.Ind,wēsen,wesen,wēsen²
"Brem. StR 1303,04 Abschrift","Kopie des Stadtrechtes von 1303/04, Haupthand um 1335, Nachträge bis 1420",t16916,dachti{R_n}g-en,dachting-en,VVINF,--,dēgedingen,degedingen,dēgedingen
"Brem. StR 1303,04 Abschrift","Kopie des Stadtrechtes von 1303/04, Haupthand um 1335, Nachträge bis 1420",t16922,sit,sit,VVFIN,St.3.Sg.Pres.Ind,sitten,sitten,sitten
"Brem. StR 1303,04 Abschrift","Kopie des Stadtrechtes von 1303/04, Haupthand um 1335, Nachträge bis 1420",t16929,beteren,beteren,VVINF,--,bēteren,beteren,bēteren²
"Brem. StR 1303,04 Abschrift","Kopie des Stadtrechtes von 1303/04, Haupthand um 1335, Nachträge bis 1420",t16939,dach#ti{R_n}gen,dachtingen,VVINF,--,dēgedingen,degedingen,dēgedingen
"Brem. StR 1303,04 Abschrift","Kopie des Stadtrechtes von 1303/04, Haupthand um 1335, Nachträge bis 1420",t16947,Sprake,Sprake,VVFIN,St.3.Sg.Past.Konj,sprēken,spreken,sprēken
"Brem. StR 1303,04 Abschrift","Kopie des Stadtrechtes von 1303/04, Haupthand um 1335, Nachträge bis 1420",t16957,ver#sake,versake,VVFIN,St-Sw.3.Sg.Pres.Konj,vorsāken,vorsaken,vorsāken
"Brem. StR 1303,04 Abschrift","Kopie des Stadtrechtes von 1303/04, Haupthand um 1335, Nachträge bis 1420",t16969,we#sen,wesen,VVINF,--,wēsen,wesen,wēsen²
"Brem. StR 1303,04 Abschrift","Kopie des Stadtrechtes von 1303/04, Haupthand um 1335, Nachträge bis 1420",t16975,sweren,sweren,VVINF,--,swēren,sweren,swēren¹
"Brem. StR 1303,04 Abschrift","Kopie des Stadtrechtes von 1303/04, Haupthand um 1335, Nachträge bis 1420",t16977,bekent,bekent,VVFIN,Sw.3.Sg.Pres.Ind,bekennen,bekennen,bekennen
"Brem. StR 1303,04 Abschrift","Kopie des Stadtrechtes von 1303/04, Haupthand um 1335, Nachträge bis 1420",t16983,betere{R_n},beteren,VVINF,--,bēteren,beteren,bēteren²
"Brem. StR 1303,04 Abschrift","Kopie des Stadtrechtes von 1303/04, Haupthand um 1335, Nachträge bis 1420",t16987,Uelle,Uelle,VVFIN,St.3.Sg.Past.Konj,vallen,vallen,vallen¹
"Brem. StR 1303,04 Abschrift","Kopie des Stadtrechtes von 1303/04, Haupthand um 1335, Nachträge bis 1420",t16998,vppe#richt,vppericht,VVPP,--,uprichten,uprichten,uprichten
"Brem. StR 1303,04 Abschrift","Kopie des Stadtrechtes von 1303/04, Haupthand um 1335, Nachträge bis 1420",t17008,were,were,VVFIN,Irr.3.Sg.Past.Konj,wēsen,wesen,wēsen²
"Brem. StR 1303,04 Abschrift","Kopie des Stadtrechtes von 1303/04, Haupthand um 1335, Nachträge bis 1420",t17011,scude,scude,VVFIN,Sw.3.Sg.Past.*,schên,schen,schên
"Brem. StR 1303,04 Abschrift","Kopie des Stadtrechtes von 1303/04, Haupthand um 1335, Nachträge bis 1420",t17024,be#sculdeghet,besculdeghet,VVPP,--,beschüldigen,beschuldigen,beschüldigen
"Brem. StR 1303,04 Abschrift","Kopie des Stadtrechtes von 1303/04, Haupthand um 1335, Nachträge bis 1420",t17029,bleue,bleue,VVFIN,St.3.Sg.Past.Konj,blîven,bliven,blîven
"Brem. StR 1303,04 Abschrift","Kopie des Stadtrechtes von 1303/04, Haupthand um 1335, Nachträge bis 1420",t17030,is,is,VVFIN,Irr.3.Sg.Pres.Ind,wēsen,wesen,wēsen²
"Brem. StR 1303,04 Abschrift","Kopie des Stadtrechtes von 1303/04, Haupthand um 1335, Nachträge bis 1420",t17038,be#sculdeghet,besculdeghet,VVPP,--,beschüldigen,beschuldigen,beschüldigen
"Brem. StR 1303,04 Abschrift","Kopie des Stadtrechtes von 1303/04, Haupthand um 1335, Nachträge bis 1420",t17046,beteren,beteren,VVINF,--,bēteren,beteren,bēteren²
"Brem. StR 1303,04 Abschrift","Kopie des Stadtrechtes von 1303/04, Haupthand um 1335, Nachträge bis 1420",t17053,vp#richten,vprichten,VVINF,--,uprichten,uprichten,uprichten
"Brem. StR 1303,04 Abschrift","Kopie des Stadtrechtes von 1303/04, Haupthand um 1335, Nachträge bis 1420",t17063,bescul-deghet,bescul-deghet,VVPP,--,beschüldigen,beschuldigen,beschüldigen
"Brem. StR 1303,04 Abschrift","Kopie des Stadtrechtes von 1303/04, Haupthand um 1335, Nachträge bis 1420",t17066,breke,breke,VVFIN,St.3.Sg.*.Konj,brēken,breken,brēken
"Brem. StR 1303,04 Abschrift","Kopie des Stadtrechtes von 1303/04, Haupthand um 1335, Nachträge bis 1420",t17074,wa-re,wa-re,VVFIN,Irr.3.Sg.Past.Konj,wēsen,wesen,wēsen²
"Brem. StR 1303,04 Abschrift","Kopie des Stadtrechtes von 1303/04, Haupthand um 1335, Nachträge bis 1420",t17084,scude,scude,VVFIN,Sw.3.Sg.Past.*,schên,schen,schên
"Brem. StR 1303,04 Abschrift","Kopie des Stadtrechtes von 1303/04, Haupthand um 1335, Nachträge bis 1420",t17088,be#teren,beteren,VVINF,--,bēteren,beteren,bēteren²
"Brem. StR 1303,04 Abschrift","Kopie des Stadtrechtes von 1303/04, Haupthand um 1335, Nachträge bis 1420",t17092,is,is,VVFIN,Irr.3.Sg.Pres.Ind,wēsen,wesen,wēsen²
