glottocode	AUTOTYP_area	Name	iso639_3	level	endangerment_status	desc_status	Parent_ID	Language_level_name	Top_genetic_unit_ID	Family_name	Path	Countries	Longitude	Latitude	Macroarea	Isolate	Family_name_isolates_distinct	Top_genetic_unit_ID_isolates_distinct	Language_level_ID	Name_stripped	Name_stripped_no_spaces	Family_color
marg1265	African Savannah	Marghi Central	mrt	language	not endangered	long_grammar	bium1270	Marghi Central	afro1255	Afro-Asiatic	afro1255/chad1250/bium1280/nort3156/marg1267/bura1296/bium1270/marg1265	NG	13.0521	10.93854	Africa	No	Afro-Asiatic	afro1255	marg1265	Marghi Central	Marghi_Central	#F04EC2
marg1266	African Savannah	Marghi South	mfm	language	not endangered	wordlist	kilb1234	Marghi South	afro1255	Afro-Asiatic	afro1255/chad1250/bium1280/nort3156/marg1267/bura1296/bium1270/kilb1234/marg1266	NG	12.99521	10.53854	Africa	No	Afro-Asiatic	afro1255	marg1266	Marghi South	Marghi_South	#F04EC2
mari1381	E North America	Maritime Sign Language	nsr	language	nearly extinct	wordlist	bsli1234	Maritime Sign Language	sign1238	Sign Language	sign1238/deaf1237/bsli1234/mari1381	CA	-63.881	45.0427	North America	No	Sign Language	sign1238	mari1381	Maritime Sign Language	Maritime_Sign_Language	#F671A7
mari1414	Indic	Maria (India)	mrr	language	not endangered	long_grammar	sout3234	Maria (India)	drav1251	Dravidian	drav1251/sout3133/sout3139/gond1265/sout3234/mari1414	IN	79.9144	19.7875	Eurasia	No	Dravidian	drav1251	mari1414	Maria India	Maria_India	#ADAABB
mari1416	Southeast Asia	Maring Naga	nng	language	shifting	grammar_sketch	mari1415	Maring Naga	sino1245	Sino-Tibetan	sino1245/kuki1245/naga1409/tang1335/mari1415/mari1416	IN	94.0723	24.2854	Eurasia	No	Sino-Tibetan	sino1245	mari1416	Maring Naga	Maring_Naga	#F438EF
mari1417	N Australia	Marimanindji	zmm	language	nearly extinct	grammar_sketch	brin1245	Marimanindji	west2434	Western Daly	west2434/brin1245/mari1417	AU	130.561	-14.1788	Australia	No	Western Daly	west2434	mari1417	Marimanindji	Marimanindji	#76DC9E
mari1419	N Australia	Maringarr	zmt	language	nearly extinct	grammar_sketch	mari1418	Maringarr	west2434	Western Daly	west2434/brin1245/mari1418/mari1419	AU	130.25	-14.3819	Australia	No	Western Daly	west2434	mari1419	Maringarr	Maringarr	#76DC9E
mari1421	N Australia	Maridjabin	zmj	language	nearly extinct	grammar_sketch	mari1420	Maridjabin	west2434	Western Daly	west2434/brin1245/mari1420/mari1421	AU	129.844	-13.8754	Australia	No	Western Daly	west2434	mari1421	Maridjabin	Maridjabin	#76DC9E
mari1422	N Australia	Maridan	zmd	language	nearly extinct	wordlist	mari1420	Maridan	west2434	Western Daly	west2434/brin1245/mari1420/mari1422	AU	130.079	-14.0542	Australia	No	Western Daly	west2434	mari1422	Maridan	Maridan	#76DC9E
mari1423	N Australia	Mariyedi	zmy	language	nearly extinct	overview	mari1420	Mariyedi	west2434	Western Daly	west2434/brin1245/mari1420/mari1423	AU	129.876	-13.7687	Australia	No	Western Daly	west2434	mari1423	Mariyedi	Mariyedi	#76DC9E
mari1424	N Australia	Marithiel	mfr	language	nearly extinct	long_grammar	mari1420	Marithiel	west2434	Western Daly	west2434/brin1245/mari1420/mari1424	AU	130.237	-13.8818	Australia	No	Western Daly	west2434	mari1424	Marithiel	Marithiel	#76DC9E
mari1426	Oceania	Sunwadia	mrb	language	shifting	long_grammar	maew1234	Sunwadia	aust1307	Austronesian	aust1307/mala1545/cent2237/east2712/ocea1241/nort3195/nort3205/maew1234/mari1426	VU	168.057941	-14.970047	Papunesia	No	Austronesian	aust1307	mari1426	Sunwadia	Sunwadia	#25EFE8
mari1428	N Coast New Guinea	Marik	dad	language	not endangered	grammar_sketch	nucl1510	Marik	aust1307	Austronesian	aust1307/mala1545/cent2237/east2712/ocea1241/west2818/nort3206/nger1241/viti1243/belr1234/bell1262/nucl1510/mari1428	PG	145.59	-5.349	Papunesia	No	Austronesian	aust1307	mari1428	Marik	Marik	#25EFE8
mari1429	N Coast New Guinea	Mari (Madang Province)	hob	language	not endangered	phonology	moun1250	Mari (Madang Province)	aust1307	Austronesian	aust1307/mala1545/cent2237/east2712/ocea1241/west2818/nort3206/huon1245/mark1257/uppe1423/moun1250/mari1429	PG	145.828	-5.97399	Papunesia	No	Austronesian	aust1307	mari1429	Mari Madang Province	Mari_Madang_Province	#25EFE8
mari1430	Oceania	Mariri	mqi	language	not endangered	comparative	batu1262	Mariri	aust1307	Austronesian	aust1307/mala1545/cent2237/cent2245/aruu1241/batu1262/mari1430	ID	134.88107	-6.15097	Papunesia	No	Austronesian	aust1307	mari1430	Mariri	Mariri	#25EFE8
mari1432	N Coast New Guinea	Mari (East Sepik Province)	mbx	language	shifting	wordlist	nucl1586	Mari (East Sepik Province)	sepi1257	Sepik	sepi1257/sepi1258/cent2234/nucl1586/mari1432	PG	142.963	-4.46436	Papunesia	No	Sepik	sepi1257	mari1432	Mari East Sepik Province	Mari_East_Sepik_Province	#90D673
mari1435	Interior New Guinea	Maring	mbw	language	threatened	grammar_sketch	jimi1245	Maring	nucl1709	Nuclear Trans New Guinea	nucl1709/cent2120/jimi1245/mari1435	PG	144.642	-5.44015	Papunesia	No	Nuclear Trans New Guinea	nucl1709	mari1435	Maring	Maring	#FBD87E
mari1438	S New Guinea	Maria (Papua New Guinea)	mds	language	not endangered	specific_feature	manu1261	Maria (Papua New Guinea)	manu1261	Manubaran	manu1261/mari1438	PG	148.303	-9.92982	Papunesia	No	Manubaran	manu1261	mari1438	Maria Papua New Guinea	Maria_Papua_New_Guinea	#BCE054
mari1440	Basin and Plains	Maricopa	mrc	language	moribund	long_grammar	rive1260	Maricopa	coch1271	Cochimi-Yuman	coch1271/yuma1250/gene1244/rive1260/mari1440	US	-111.749	33.5123	North America	No	Cochimi-Yuman	coch1271	mari1440	Maricopa	Maricopa	#F9ECF0
mari1442	NE South America	Maritsauá	msp	language	extinct	wordlist	unun9935	Maritsauá	tupi1275	Tupian	tupi1275/yuru1262/unun9935/mari1442	BR	-53.9667	-11.5833	South America	No	Tupian	tupi1275	mari1442	Maritsaua	Maritsaua	#7F82E8
mark1255	S Africa	Markweeta	enb	language	shifting	long_grammar	nort3239	Markweeta	nilo1247	Nilotic	nilo1247/sout2830/kale1246/nort3239/mark1255	KE	35.5866	1.15018	Africa	No	Nilotic	nilo1247	mark1255	Markweeta	Markweeta	#CCCBF8
mark1256	African Savannah	Marka	rkm	language	not endangered	long_grammar	east2425	Marka	mand1469	Mande	mand1469/west2780/mand1431/cent2047/mand1432/mand1433/mand1434/mand1435/east2425/mark1256	BF, ML	-3.58355	12.7178	Africa	No	Mande	mand1469	mark1256	Marka	Marka	#9DDAB5
marm1234	Indic	Marma	rmz	language	not endangered	phonology	arak1255	Marma	sino1245	Sino-Tibetan	sino1245/burm1265/lolo1265/burm1266/sout3159/nucl1730/arak1255/marm1234	BD, IN	92.210748	22.759948	Eurasia	No	Sino-Tibetan	sino1245	marm1234	Marma	Marma	#F438EF
maro1244	Oceania	Marovo	mvo	language	not endangered	specific_feature	maro1247	Marovo	aust1307	Austronesian	aust1307/mala1545/cent2237/east2712/ocea1241/west2818/meso1253/newi1242/stge1234/nort3225/newg1239/east2761/maro1247/maro1244	SB	157.747	-8.37943	Papunesia	No	Austronesian	aust1307	maro1244	Marovo	Marovo	#25EFE8
marr1256	N Australia	Marriammu	xru	language	nearly extinct	wordlist	mari1420	Marriammu	west2434	Western Daly	west2434/brin1245/mari1420/marr1256	AU	130.5	-12.28	Australia	No	Western Daly	west2434	marr1256	Marriammu	Marriammu	#76DC9E
mars1254	Oceania	Marshallese	mah	language	not endangered	long_grammar	west2844	Marshallese	aust1307	Austronesian	aust1307/mala1545/cent2237/east2712/ocea1241/micr1243/micr1244/cent2276/west2844/mars1254	MH	167.73	8.72	Papunesia	No	Austronesian	aust1307	mars1254	Marshallese	Marshallese	#25EFE8
mart1251	E North America	Martha's Vineyard Sign Language	mre	language	extinct	grammar_sketch	vill1244	Martha's Vineyard Sign Language	sign1238	Sign Language	sign1238/vill1244/mart1251	US	-70.625275	41.414542	North America	No	Sign Language	sign1238	mart1251	Martha?s Vineyard Sign Language	Martha?s_Vineyard_Sign_Language	#F671A7
mart1254	N Australia	Marti Ke	zmg	language	nearly extinct	wordlist	mari1418	Marti Ke	west2434	Western Daly	west2434/brin1245/mari1418/mart1254	AU	129.837	-14.0058	Australia	No	Western Daly	west2434	mart1254	Marti Ke	Marti_Ke	#76DC9E
mart1255	S Australia	Martuthunira	vma	language	nearly extinct	long_grammar	cent2248	Martuthunira	pama1250	Pama-Nyungan	pama1250/sout3134/pilb1234/ngay1241/cent2248/mart1255	AU	116.607	-20.9294	Australia	No	Pama-Nyungan	pama1250	mart1255	Martuthunira	Martuthunira	#E4DAF7
mart1256	S Australia	Martu Wangka	mpj	language	shifting	long_grammar	warn1245	Martu Wangka	pama1250	Pama-Nyungan	pama1250/dese1234/wati1241/mart1257/warn1245/mart1256	AU	121.954	-24.3194	Australia	No	Pama-Nyungan	pama1250	mart1256	Martu Wangka	Martu_Wangka	#E4DAF7
maru1249	Southeast Asia	Maru	mhx	language	not endangered	grammar	midn1240	Maru	sino1245	Sino-Tibetan	sino1245/burm1265/lolo1265/burm1266/nort2720/midn1240/maru1249	CN, MM	99.8338	24.942535	Eurasia	No	Sino-Tibetan	sino1245	maru1249	Maru	Maru	#F438EF
maru1252	NE South America	Marúbo	mzr	language	shifting	grammar_sketch	maru1251	Marúbo	pano1259	Pano-Tacanan	pano1259/pano1256/main1279/pano1257/maru1251/maru1252	BR	-72.4027	-6.60703	South America	No	Pano-Tacanan	pano1259	maru1252	Marubo	Marubo	#28C3A6
marw1256	Indic	Marwari (Pakistan)	mve	language	not endangered	text	west2831	Marwari (Pakistan)	indo1319	Indo-European	indo1319/indo1320/indo1321/indo1322/subc1234/guja1255/raja1256/west2831/marw1256	IN, PK	71.5671	28.3242	Eurasia	No	Indo-European	indo1319	marw1256	Marwari Pakistan	Marwari_Pakistan	#D0E889
marw1260	Indic	Marwari (India)	rwr	language	not endangered	long_grammar	mewa1254	Marwari (India)	indo1319	Indo-European	indo1319/indo1320/indo1321/indo1322/subc1234/guja1255/raja1256/mewa1254/marw1260	IN, NP, PK	75.0656	27.002	Eurasia	No	Indo-European	indo1319	marw1260	Marwari India	Marwari_India	#D0E889
masa1299	S Africa	Masaaba	myx	language	not endangered	grammar_sketch	buku1251	Masaaba	atla1278	Atlantic-Congo	atla1278/volt1241/benu1247/bant1294/sout3152/narr1281/east2731/nort3203/grea1289/grea1291/luyi1234/saam1284/buku1251/masa1299	KE, UG	34.2829	1.05906	Africa	No	Atlantic-Congo	atla1278	masa1299	Masaaba	Masaaba	#D38D93
masa1300	S Africa	Masai	mas	language	extinct	long_grammar	nucl1431	Masai	nilo1247	Nilotic	nilo1247/east2418/teso1247/lotu1248/onga1238/nucl1431/masa1300	KE, TZ	36.4573	-3.1419	Africa	No	Nilotic	nilo1247	masa1300	Masai	Masai	#CCCBF8
masa1307	Oceania	Masadiit Itneg	tis	language	not endangered	comparative	masa1325	Masadiit Itneg	aust1307	Austronesian	aust1307/mala1545/nort3238/meso1254/sout3211/cent2296/nort3240/kali1310/kali1311/masa1325/masa1307	PH	120.829	17.4501	Papunesia	No	Austronesian	aust1307	masa1307	Masadiit Itneg	Masadiit_Itneg	#25EFE8
masa1322	African Savannah	Masana	mcn	language	not endangered	grammar	masa1324	Masana	afro1255	Afro-Asiatic	afro1255/chad1250/masa1323/nort3157/masa1324/masa1322	CM, TD	15.4748	10.0606	Africa	No	Afro-Asiatic	afro1255	masa1322	Masana	Masana	#F04EC2
masb1237	Oceania	Masbate Sorsogon	bks	language	not endangered	wordlist	masb1239	Masbate Sorsogon	aust1307	Austronesian	aust1307/mala1545/grea1284/cent2246/bisa1268/cent2263/peri1261/masb1239/masb1237	PH	124.002	12.8438	Papunesia	No	Austronesian	aust1307	masb1237	Masbate Sorsogon	Masbate_Sorsogon	#25EFE8
masb1238	Oceania	Masbatenyo	msb	language	not endangered	grammar_sketch	masb1239	Masbatenyo	aust1307	Austronesian	aust1307/mala1545/grea1284/cent2246/bisa1268/cent2263/peri1261/masb1239/masb1238	PH	123.63579	12.21453	Papunesia	No	Austronesian	aust1307	masb1238	Masbatenyo	Masbatenyo	#25EFE8
mash1267	S Africa	Mashi (Zambia)	mho	language	threatened	comparative	mash1271	Mashi (Zambia)	atla1278	Atlantic-Congo	atla1278/volt1241/benu1247/bant1294/sout3152/narr1281/cent2260/grea1287/west2833/mash1271/mash1267	AO, NA, ZM	22.5983	-16.7256	Africa	No	Atlantic-Congo	atla1278	mash1267	Mashi Zambia	Mashi_Zambia	#D38D93
mash1269	African Savannah	Mashi (Nigeria)	jms	language	threatened	overview	naki1240	Mashi (Nigeria)	atla1278	Atlantic-Congo	atla1278/volt1241/benu1247/bant1294/sout3152/bebo1243/east2730/bebe1253/naki1239/naki1240/mash1269	NG	10.2778	6.91719	Africa	No	Atlantic-Congo	atla1278	mash1269	Mashi Nigeria	Mashi_Nigeria	#D38D93
mash1270	NE South America	Mashco Piro	cuj	language	threatened	wordlist	piro1249	Mashco Piro	araw1281	Arawakan	araw1281/sout3131/puru1265/yine1239/piro1249/mash1270	PE	-70.7953	-11.4745	South America	No	Arawakan	araw1281	mash1270	Mashco Piro	Mashco_Piro	#B1D193
masi1265	N Coast New Guinea	Masimasi	ism	language	moribund	wordlist	sarm1242	Masimasi	aust1307	Austronesian	aust1307/mala1545/cent2237/east2712/ocea1241/west2818/nort3206/sarm1241/sarm1242/masi1265	ID	139.04	-2.00717	Papunesia	No	Austronesian	aust1307	masi1265	Masimasi	Masimasi	#25EFE8
masi1266	Oceania	Masiwang	bnf	language	threatened	grammar_sketch	east2748	Masiwang	aust1307	Austronesian	aust1307/mala1545/cent2237/cent2245/cent2254/east2466/east2741/east2748/masi1266	ID	130.601	-3.29547	Papunesia	No	Austronesian	aust1307	masi1266	Masiwang	Masiwang	#25EFE8
masi1268	Southeast Asia	Masikoro Malagasy	msh	language	not endangered	dictionary	saka1299	Masikoro Malagasy	aust1307	Austronesian	aust1307/mala1545/basa1291/grea1283/sout2919/mala1537/sout3174/saka1299/masi1268	MG	43.8156	-22.5582	Africa	No	Austronesian	aust1307	masi1268	Masikoro Malagasy	Masikoro_Malagasy	#25EFE8
