"Estimate","Est.Error","l-95% CI","u-95% CI","Rhat","Bulk_ESS","Tail_ESS","parameter","model"
2.12002966424002,0.643900327842886,0.449641101750002,3.0930473975,1.01282760274844,1184.68438538675,436.744577581432,"Intercept","Minimal"
0.207671022161329,0.144156597995413,-0.0695154690749999,0.494665584,1.00104495490793,2024.09062352679,3534.71123851551,"log10_pop_z","Minimal"
-0.528507309966477,0.184408977038663,-0.882405863,-0.16433674125,1.00175483873821,2178.13292168448,3230.99895788055,"posn","Minimal"
-0.477481478152083,0.182251035085875,-0.82691177925,-0.11260111875,1.00192780720324,2092.87038262017,3126.6893976838,"posv","Minimal"
-0.163605815013061,0.149528168035666,-0.472013442,0.116879860999999,1.00276985260687,1966.49925835874,3031.33991331209,"log10_paradigm_size_z","Minimal"
-0.282265012561667,0.0184752726305089,-0.3186095825,-0.24639887075,1.00208038355023,10564.5584367277,4382.49302620167,"log10_nvar_z","Minimal"
-0.370084503899533,0.0996116777078884,-0.56130318275,-0.17402610525,1.00247839956437,3003.70492696314,3680.84782859677,"log10_pop_z:posn","Minimal"
-0.188226463043318,0.100448618245466,-0.380858185,0.00756679857749988,1.00401564967344,2894.52696070775,3628.40698863058,"log10_pop_z:posv","Minimal"
0.449976941142417,0.14761074196931,0.16969376425,0.74989937375,1.00191308121982,2083.93412968028,3042.87332373874,"posn:log10_paradigm_size_z","Minimal"
0.381717307145953,0.141104730449173,0.11011251025,0.67160074175,1.00310335378079,2003.91728288479,3062.58341119383,"posv:log10_paradigm_size_z","Minimal"
2.06205545091627,0.688952058923447,0.32578955375,3.101785585,1.00492522958043,1314.7070567869,963.196236033977,"Intercept","Comprehensive"
0.295316432724378,0.21820730556993,-0.13918654875,0.728260261,1.00065660718208,1607.62175562657,2448.32394986528,"log10_pop_z","Comprehensive"
-0.524803690117258,0.18295836468221,-0.88115844975,-0.1518485145,1.00117782914475,2527.97679258231,3461.56295726175,"posn","Comprehensive"
-0.471812444824692,0.180888982922667,-0.82452887175,-0.104833104,1.00172311818751,2458.78427575489,3194.47318320686,"posv","Comprehensive"
-0.18531246946525,0.111604586674416,-0.4104793595,0.0300462566249998,1.0011399346444,3977.00264791161,4175.45870145519,"contact_richness_scaled","Comprehensive"
-0.0137169167358617,0.185080035165367,-0.37272241675,0.34799593375,1.0011407208602,1494.72601930393,2668.35184110801,"log10_area_scaled","Comprehensive"
0.0598372047223758,0.120990724527043,-0.18048283975,0.2964845185,1.00100421699455,3587.29899686108,3750.44952315405,"roughness_scaled","Comprehensive"
-0.170783380472762,0.149150667840696,-0.48399494525,0.11761423575,1.0020143972381,2407.70785816742,3217.00121637944,"log10_paradigm_size_z","Comprehensive"
-0.281860648101667,0.0183154582109232,-0.3183833555,-0.245885163,1.00258423066126,9673.49426605646,4547.85256080749,"log10_nvar_z","Comprehensive"
-0.372922813681833,0.101193993837845,-0.57214083475,-0.17986587275,1.00012069971612,4576.81110371704,4372.2057859177,"log10_pop_z:posn","Comprehensive"
-0.191235265174343,0.100276785712952,-0.385061101,-0.000954669694750118,1.00044723429116,4655.75765035383,4660.05092121005,"log10_pop_z:posv","Comprehensive"
0.455282722012817,0.147115792466194,0.1734008355,0.7567595055,1.00158620877068,2409.72275066768,3339.75043190893,"posn:log10_paradigm_size_z","Comprehensive"
0.386125372877053,0.140719419989384,0.120880073,0.67167757175,1.00188813427592,2448.26675775069,3186.36921520588,"posv:log10_paradigm_size_z","Comprehensive"
